X,Y,Z,Yaw,Pitch,Roll
-0.231972857,0.324588571,-0.152338571,214.2438857,-7.692242857,-1.885714286
-0.218229376,0.305751606,-0.146840695,214.1951677,-7.72261746,-1.824965079
-0.204683329,0.287200642,-0.141462871,214.1471064,-7.752788889,-1.764622222
-0.191333546,0.268933963,-0.136204184,214.0996983,-7.782757143,-1.704685714
-0.178178857,0.250949849,-0.131063721,214.0529399,-7.812522222,-1.645155556
-0.165218092,0.233246583,-0.126040569,214.0068275,-7.842084127,-1.586031746
-0.152450083,0.215822447,-0.121133813,213.9613577,-7.871442857,-1.527314286
-0.139873658,0.198675721,-0.116342541,213.9165269,-7.900598413,-1.469003175
-0.127487649,0.181804688,-0.111665838,213.8723315,-7.929550794,-1.411098413
-0.115290886,0.165207629,-0.10710279,213.828768,-7.9583,-1.3536
-0.1032822,0.148882826,-0.102652485,213.7858328,-7.986846032,-1.296507937
-0.091460419,0.132828561,-0.098314009,213.7435224,-8.015188889,-1.239822222
-0.079824376,0.117043116,-0.094086447,213.7018331,-8.043328571,-1.183542857
-0.0683729,0.101524772,-0.089968887,213.6607616,-8.071265079,-1.127669841
-0.057104822,0.086271811,-0.085960413,213.6203041,-8.098998413,-1.072203175
-0.046018971,0.071282514,-0.082060114,213.5804571,-8.126528571,-1.017142857
-0.035114179,0.056555164,-0.078267075,213.5412172,-8.153855556,-0.962488889
-0.024389276,0.042088042,-0.074580383,213.5025807,-8.180979365,-0.90824127
-0.013843091,0.02787943,-0.070999123,213.464544,-8.2079,-0.8544
-0.003474456,0.01392761,-0.067522383,213.4271037,-8.23461746,-0.800965079
0.0067178,0.000230863,-0.064149248,213.3902561,-8.261131746,-0.747936508
0.016734845,-0.013212529,-0.060878805,213.3539977,-8.287442857,-0.695314286
0.026577851,-0.026404285,-0.05771014,213.318325,-8.313550794,-0.643098413
0.036247985,-0.039346122,-0.05464234,213.2832344,-8.339455556,-0.591288889
0.045746419,-0.052039759,-0.051674491,213.2487223,-8.365157143,-0.539885714
0.055074321,-0.064486914,-0.048805679,213.2147852,-8.390655556,-0.488888889
0.064232862,-0.076689305,-0.046034991,213.1814195,-8.415950794,-0.438298413
0.07322321,-0.088648651,-0.043361512,213.1486217,-8.441042857,-0.388114286
0.082046536,-0.10036667,-0.04078433,213.1163882,-8.465931746,-0.338336508
0.09070401,-0.11184508,-0.038302531,213.0847155,-8.49061746,-0.288965079
0.0991968,-0.1230856,-0.0359152,213.0536,-8.5151,-0.24
0.107526077,-0.134089948,-0.033621425,213.0230381,-8.539379365,-0.19144127
0.11569301,-0.144859841,-0.031420291,212.9930264,-8.563455556,-0.143288889
0.123698769,-0.155396999,-0.029310885,212.9635611,-8.587328571,-0.095542857
0.131544524,-0.16570314,-0.027292294,212.9346389,-8.610998413,-0.048203175
0.139231444,-0.175779982,-0.025363604,212.9062561,-8.634465079,-0.001269841
0.146760699,-0.185629243,-0.0235239,212.8784091,-8.657728571,0.045257143
0.154133458,-0.195252641,-0.02177227,212.8510945,-8.680788889,0.091377778
0.161350892,-0.204651895,-0.020107799,212.8243087,-8.703646032,0.137092063
0.16841417,-0.213828723,-0.018529574,212.798048,-8.7263,0.1824
0.175324461,-0.222784844,-0.017036682,212.772309,-8.748750794,0.227301587
0.182082935,-0.231521975,-0.015628209,212.7470881,-8.770998413,0.271796825
0.188690762,-0.240041835,-0.01430324,212.7223817,-8.793042857,0.315885714
0.195149112,-0.248346142,-0.013060863,212.6981863,-8.814884127,0.359568254
0.201459154,-0.256436615,-0.011900164,212.6744984,-8.836522222,0.402844444
0.207622057,-0.264314971,-0.010820229,212.6513143,-8.857957143,0.445714286
0.213638992,-0.27198293,-0.009820144,212.6286305,-8.879188889,0.488177778
0.219511129,-0.279442209,-0.008898996,212.6064435,-8.90021746,0.530234921
0.225239636,-0.286694526,-0.008055871,212.5847497,-8.921042857,0.571885714
0.230825683,-0.2937416,-0.007289855,212.5635456,-8.941665079,0.613130159
0.236270441,-0.30058515,-0.006600035,212.5428275,-8.962084127,0.653968254
