X,Y,Z,Yaw,Pitch,Roll
-0.105488571,-0.177728571,-0.056554286,-32.89831429,8.677457143,-0.435714286
-0.098398115,-0.168316908,-0.054061894,-32.94703234,8.64708254,-0.374965079
-0.091401249,-0.159046438,-0.051627405,-32.99509363,8.616911111,-0.314622222
-0.084497445,-0.149916325,-0.049250373,-33.04250171,8.586942857,-0.254685714
-0.077686171,-0.140925729,-0.046930353,-33.08926015,8.557177778,-0.195155556
-0.070966899,-0.132073813,-0.044666897,-33.13537249,8.527615873,-0.136031746
-0.064339099,-0.123359739,-0.042459559,-33.18084229,8.498257143,-0.077314286
-0.057802241,-0.11478267,-0.040307895,-33.2256731,8.469101587,-0.019003175
-0.051355795,-0.106341767,-0.038211456,-33.26986849,8.440149206,0.038901587
-0.044999232,-0.098036192,-0.036169798,-33.313432,8.4114,0.0964
-0.038732021,-0.089865108,-0.034182475,-33.3563672,8.382853968,0.153492063
-0.032553633,-0.081827676,-0.032249039,-33.39867763,8.354511111,0.210177778
-0.026463538,-0.073923058,-0.030369046,-33.44036686,8.326371429,0.266457143
-0.020461207,-0.066150418,-0.028542049,-33.48143843,8.298434921,0.322330159
-0.014546109,-0.058508916,-0.026767601,-33.52189592,8.270701587,0.377796825
-0.008717714,-0.050997714,-0.025045257,-33.56174286,8.243171429,0.432857143
-0.002975494,-0.043615976,-0.023374571,-33.60098281,8.215844444,0.487511111
0.002681082,-0.036362862,-0.021755096,-33.63961934,8.188720635,0.54175873
0.008252544,-0.029237536,-0.020186387,-33.677656,8.1618,0.5956
0.013739421,-0.022239159,-0.018667997,-33.71509634,8.13508254,0.649034921
0.019142243,-0.015366892,-0.017199481,-33.75194392,8.108568254,0.702063492
0.024461541,-0.008619899,-0.015780391,-33.78820229,8.082257143,0.754685714
0.029697842,-0.001997342,-0.014410283,-33.82387501,8.056149206,0.806901587
0.034851679,0.004501619,-0.013088709,-33.85896563,8.030244444,0.858711111
0.039923579,0.010877819,-0.011815225,-33.89347771,8.004542857,0.910114286
0.044914074,0.017132099,-0.010589383,-33.92741481,7.979044444,0.961111111
0.049823693,0.023265295,-0.009410737,-33.96078049,7.953749206,1.011701587
0.054652965,0.029278245,-0.008278843,-33.99357829,7.928657143,1.061885714
0.05940242,0.035171787,-0.007193252,-34.02581177,7.903768254,1.111663492
0.064072589,0.040946759,-0.00615352,-34.05748449,7.87908254,1.161034921
0.068664,0.046604,-0.0051592,-34.0886,7.8546,1.21
0.073177184,0.052144347,-0.004209846,-34.11916186,7.830320635,1.25855873
0.077612671,0.057568637,-0.003305012,-34.14917363,7.806244444,1.306711111
0.08197099,0.06287771,-0.002444252,-34.17863886,7.782371429,1.354457143
0.086252671,0.068072402,-0.00162712,-34.2075611,7.758701587,1.401796825
0.090458243,0.073153552,-0.00085317,-34.23594392,7.735234921,1.448730159
0.094588238,0.078121998,-0.000121955,-34.26379086,7.711971429,1.495257143
0.098643183,0.082978577,0.000566971,-34.29110548,7.688911111,1.541377778
0.10262361,0.087724128,0.001214053,-34.31789134,7.666053968,1.587092063
0.106530048,0.092359488,0.001819738,-34.344152,7.6434,1.6324
0.110363026,0.096885496,0.002384471,-34.36989101,7.620949206,1.677301587
0.114123075,0.101302988,0.0029087,-34.39511192,7.598701587,1.721796825
0.117810725,0.105612805,0.003392869,-34.41981829,7.576657143,1.765885714
