X,Y,Z,Yaw,Pitch,Roll
-0.0763651, -0.0494669, -1.004, 40.0438, -4.06576, 132.097
-0.0804497, -0.0455141, -1.05202, 40.0319, -4.07908, 132.072
-0.0850205, -0.0417614, -1.10624, 40.0186, -4.09399, 132.045
-0.0899671, -0.037316, -1.16567, 40.0042, -4.11013, 132.015
-0.0953138, -0.0327196, -1.22997, 39.9886, -4.12758, 131.982
-0.10098, -0.0280024, -1.2978, 39.9721, -4.14609, 131.948
-0.106932, -0.023187, -1.36884, 39.9548, -4.16553, 131.912
-0.113166, -0.0182908, -1.44285, 39.9366, -4.18591, 131.875
-0.119593, -0.0133272, -1.51904, 39.918, -4.20694, 131.836
-0.126221, -0.00830691, -1.59734, 39.8987, -4.22864, 131.796
-0.133021, -0.00323838, -1.67771, 39.879, -4.25091, 131.755
-0.14493, 0.00529064, -1.81966, 39.8444, -4.28988, 131.683
-0.157223, 0.0143699, -1.96586, 39.8087, -4.33014, 131.608
-0.169932, 0.0239993, -2.11598, 39.7719, -4.37181, 131.532
-0.183095, 0.034179, -2.27092, 39.7338, -4.41501, 131.452
-0.196699, 0.0439658, -2.43127, 39.6945, -4.45969, 131.37
-0.21073, 0.053412, -2.59679, 39.6539, -4.50583, 131.285
-0.225126, 0.0625604, -2.76714, 39.6124, -4.55321, 131.198
-0.239846, 0.0708467, -2.94228, 39.57, -4.60171, 131.11
-0.254945, 0.0783363, -3.12247, 39.5266, -4.65151, 131.018
-0.270482, 0.0850841, -3.30821, 39.482, -4.70281, 130.925
-0.286444, 0.0914118, -3.49968, 39.4362, -4.75564, 130.828
-0.302549, 0.0977394, -3.69308, 39.3899, -4.80926, 130.731
-0.318815, 0.103791, -3.88867, 39.3431, -4.86393, 130.633
-0.335174, 0.110118, -4.08619, 39.2959, -4.91958, 130.535
-0.351601, 0.116995, -4.28591, 39.2483, -4.97626, 130.436
-0.368093, 0.124698, -4.48784, 39.2002, -5.03416, 130.337
-0.384573, 0.133775, -4.69141, 39.1519, -5.09309, 130.238
-0.401112, 0.144503, -4.89719, 39.103, -5.15342, 130.139
-0.417683, 0.157707, -5.10516, 39.0536, -5.2153, 130.039
-0.434305, 0.173937, -5.31561, 39.0036, -5.27901, 129.94
-0.450997, 0.193467, -5.52882, 38.9528, -5.34472, 129.84
-0.467769, 0.216849, -5.74504, 38.9011, -5.41267, 129.74
-0.484634, 0.244633, -5.96485, 38.8485, -5.48303, 129.639
-0.501515, 0.277368, -6.18713, 38.7951, -5.55566, 129.539
-0.518467, 0.316706, -6.41189, 38.7407, -5.63098, 129.438
-0.535437, 0.363196, -6.63829, 38.6854, -5.70892, 129.337
-0.552472, 0.417115, -6.86663, 38.629, -5.78979, 129.237
-0.569601, 0.479561, -7.09689, 38.5713, -5.87381, 129.135
-0.586847, 0.551912, -7.32962, 38.5122, -5.96137, 129.034
-0.60411, 0.635266, -7.56483, 38.4518, -6.05246, 128.931
-0.621357, 0.729625, -7.80252, 38.3896, -6.14712, 128.828
-0.63847, 0.835537, -8.04241, 38.3258, -6.2451, 128.723
-0.65536, 0.953004, -8.2834, 38.2604, -6.34587, 128.617
-0.671967, 1.08203, -8.52439, 38.1937, -6.44906, 128.509
-0.68822, 1.22398, -8.76537, 38.1251, -6.55484, 128.398
-0.703973, 1.38106, -9.00581, 38.0543, -6.66315, 128.284
-0.71922, 1.553, -9.24597, 37.9812, -6.77405, 128.165
-0.733863, 1.74006, -9.48531, 37.9056, -6.8873, 128.041
